"Site","Country","Site_identifier","Site_code_2","Site_name","Type_1","Type_2","Site_block","s3","cd1","cy2","dis3","dis4","life1","life2","wnb2","wnb3","wnb5"
18,"NO","NO_GAU_PAIR_UBF","GAU","Gaustadbekken_PAIR_UP","UBF","PAIR","GAU_PAIR",2.92121212121212,3,1.24318181818182,1.07045454545455,1.20454545454545,2.96590909090909,0.0568181818181818,2.69318181818182,0.272727272727273,0.0340909090909091
19,"NO","NO_GAU_PAIR_FBF","GAU","Gaustadbekken_PAIR_DOWN","FBF","PAIR","GAU_PAIR",2.75,3,1.19827586206897,1.25862068965517,1.24137931034483,2.98275862068966,0.0258620689655172,2.63793103448276,0.362068965517241,0
20,"NO","NO_HSK_FOR","HSK","Hoffselva_Skadalsbekken_LON_UP","FOR","FOR","HSK_FOR",2.44972754518209,2.86258438531166,2.15967920967921,0.886713286713287,1.57594063133836,1.47329434697856,1.01218323586745,1.06993006993007,0.660839160839161,1.15384615384615
21,"NO","NO_HSK_PAIR_UBF","HSK","Hoffselva_Skadalsbekken_PAIR_UP","UBF","PAIR","HSK_PAIR",2.75295508274232,2.9710401891253,1.91193853427896,0.912529550827423,2.25827423167849,2.58809523809524,0.186904761904762,0.75886524822695,1.83687943262411,0.390070921985816
22,"NO","NO_HSK_PAIR_FBF","HSK","Hoffselva_Skadalsbekken_PAIR_DOWN","FBF","PAIR","HSK_PAIR",2.774,2.965,1.964,1.0195,2.355,2.53299492385787,0.296954314720812,0.69,1.9725,0.3225
24,"NO","NO_HMI_FOR","HMI","Hoffselva_Midtstubekken_LON_UP","FOR","FOR","HMI_FOR",2.81972038263429,2.9635761589404,2.00049055678195,1.00441501103753,2.58347130242826,2.65274670643798,0.278399204573701,0.417218543046358,2.35099337748344,0.218543046357616
25,"NO","NO_HMI_PAIR_UBF","HMI","Hoffselva_Midtstubekken_PAIR_UP","UBF","PAIR","HMI_PAIR",2.76722090261283,2.97862232779097,1.9806017418844,1.05225653206651,2.28377375296912,2.4515873015873,0.358730158730159,0.712589073634204,1.88836104513064,0.38479809976247
26,"NO","NO_HMI_PAIR_FBF","HMI","Hoffselva_Midtstubekken_PAIR_DOWN","FBF","PAIR","HMI_PAIR",2.67749431882449,2.95922921101068,1.60239826154315,1.07838479809976,1.54629868844536,2.47999612515742,0.289081420129807,1.79702008205571,0.746922910818398,0.435327143165623
28,"NO","NO_HMA_PAIR_UBF","HMA","Hoffselva_Makrelbekken_PAIR_UP","UBF","PAIR","HMA_PAIR",2.87277353689567,3,1.12977099236641,1.09923664122137,1.16793893129771,2.96946564885496,0.0458015267175573,2.77099236641221,0.229007633587786,0
29,"NO","NO_HMA_PAIR_FBF","HMA","Hoffselva_Makrelbekken_PAIR_DOWN","FBF","PAIR","HMA_PAIR",2.89414141414141,3,1.10727272727273,1.10969696969697,1.13636363636364,2.99393939393939,0.00909090909090909,2.8,0.2,0
31,"NO","NO_MAE_FOR","MAE","Maerradalsbekken_LON_UP","FOR","FOR","MAE_FOR",2.75682358535426,2.90679980979553,1.59514978601997,1.15587256300523,1.46314788397527,2.53275944524151,0.323290291726447,2.24251069900143,0.445078459343795,0.312410841654779
32,"NO","NO_MAE_PAIR_UBF","MAE","Maerradalsbekken_PAIR_UP","UBF","PAIR","MAE_PAIR",2.79945054945055,2.9010989010989,1.62637362637363,0.923076923076923,1.81868131868132,2.5828729281768,0.132596685082873,1.53296703296703,0.980769230769231,0.46978021978022
33,"NO","NO_MAE_PAIR_FBF","MAE","Maerradalsbekken_PAIR_DOWN","FBF","PAIR","MAE_PAIR",2.62118997912317,2.9830375782881,1.76857457666435,1.10104384133612,1.92499021398747,2.55900584795322,0.287251461988304,1.27922755741127,1.37004175365344,0.342901878914405
35,"NO","NO_SAN_PAIR_UBF","SAN","Sandvikselva_PAIR_UP","UBF","PAIR","SAN_PAIR",2.04494586149262,2.76967516895574,1.80335731414868,1.39088729016787,1.71473730106824,2.31796116504854,0.410194174757282,1.70503597122302,0.79136690647482,0.172661870503597
36,"NO","NO_SAN_PAIR_FBF","SAN","Sandvikselva_PAIR_DOWN","FBF","PAIR","SAN_PAIR",2.66220754197633,2.92568125516102,1.93691164327002,1.01717588769612,1.9532067162125,2.40248962655602,0.183402489626556,1.10734929810074,1.30305532617671,0.500412881915772
1,"BE","BE_DOR_LDS","B1","DOR","LDS","LDS","DOR_LDS",1.50641025641026,2.41346153846154,2.25,0.629807692307692,2.49038461538462,1.58252427184466,0.621359223300971,0.375,1.18269230769231,0.778846153846154
10,"BE","BE_MOZ_PAIR","B10","MOZ","FBF","PAIR","MOZ_PAIR",2.0185587543002,2.67594604381677,2.58754300199167,0.911596958174905,1.49932102118414,2.556640625,0.322265625,2.33840304182509,0.365019011406844,0.228136882129278
11,"BE","BE_KOU_PAIR","B11","KOU","FBF","PAIR","KOU_PAIR",1.34399404108515,2.9970336103706,1.13858136009618,2.65653128430296,1.05366943703936,2.9646017699115,0.0381637168141593,2.92755214050494,0.057628979143798,0.0115257958287596
2,"BE","BE_VER_LDS","B2","VER","LDS","LDS","VER_LDS",0.284671532846715,2.17518248175183,2.95620437956204,0.0401459854014599,2.8978102189781,0.117647058823529,1.11764705882353,0.109489051094891,0,1.66423357664234
3,"BE","BE_MOL_PAIR","B3","MOL","FBF","PAIR","MOL_PAIR",1.48361344537815,2.98028711484594,1.34719887955182,2.00808823529412,1.01292016806723,2.94690265486726,0.0427728613569322,2.98235294117647,0,0.00441176470588235
